tag,simulation,active proportion,mean,std
First_Hypothesis_00010,simulation_27.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_28.csv,0.64,0.671,0.014
First_Hypothesis_00010,simulation_29.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_3.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_4.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_5.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_6.csv,0.66,0.671,0.014
First_Hypothesis_00010,simulation_7.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_8.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_9.csv,0.68,0.671,0.014
First_Hypothesis_00011,simulation_0.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_1.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_10.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_11.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_12.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_13.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_14.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_15.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_16.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_17.csv,0.94,0.958,0.006
First_Hypothesis_00011,simulation_18.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_19.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_2.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_20.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_21.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_22.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_23.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_24.csv,0.94,0.958,0.006
First_Hypothesis_00011,simulation_25.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_26.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_27.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_28.csv,0.94,0.958,0.006
First_Hypothesis_00011,simulation_29.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_3.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_4.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_5.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_6.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_7.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_8.csv,0.96,0.958,0.006
First_Hypothesis_00011,simulation_9.csv,0.96,0.958,0.006
First_Hypothesis_00012,simulation_0.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_1.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_10.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_11.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_12.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_13.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_14.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_15.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_16.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_17.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_18.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_19.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_2.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_20.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_21.csv,0.94,0.959,0.004
First_Hypothesis_00012,simulation_22.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_23.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_24.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_25.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_26.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_27.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_28.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_29.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_3.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_4.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_5.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_6.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_7.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_8.csv,0.96,0.959,0.004
First_Hypothesis_00012,simulation_9.csv,0.96,0.959,0.004
First_Hypothesis_00013,simulation_0.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_1.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_10.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_11.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_12.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_13.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_14.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_15.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_16.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_17.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_18.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_19.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_2.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_20.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_21.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_22.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_23.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_24.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_25.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_26.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_27.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_28.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_29.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_3.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_4.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_5.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_6.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_7.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_8.csv,0.96,0.96,0.0
First_Hypothesis_00013,simulation_9.csv,0.96,0.96,0.0
First_Hypothesis_00014,simulation_0.csv,0.96,0.96,0.0
First_Hypothesis_00014,simulation_1.csv,0.96,0.96,0.0
