run_tag,metric,n_a,n_b,mean_a,mean_b,mean_diff,t,df,p_value,cohens_d,effect,significant
newoutcome1_00025,opposite_switch_rate,25,25,0.1871,0.186,0.0012,0.0697,45.13,0.9447186335495306,0.0197,negligible,False
newoutcome1_00026,mean_jump_deg,25,25,107.7333,107.0955,0.6378,0.3527,44.23,0.7259620763143702,0.0998,negligible,False
newoutcome1_00026,mean_jump_cos,25,25,71.2329,71.0935,0.1394,0.0505,46.62,0.9599132085138948,0.0143,negligible,False
newoutcome1_00026,opposite_switch_rate,25,25,0.1991,0.1874,0.0117,0.6297,42.19,0.5322630591104671,0.1781,negligible,False
newoutcome1_00027,mean_jump_deg,25,25,106.5495,106.4595,0.0901,0.0299,47.98,0.9762667294202723,0.0085,negligible,False
newoutcome1_00027,mean_jump_cos,25,25,69.6734,69.586,0.0875,0.0203,47.93,0.9838791573190578,0.0057,negligible,False
newoutcome1_00027,opposite_switch_rate,25,25,0.1747,0.1808,-0.0061,-0.1937,44.1,0.8473086038412012,-0.0548,negligible,False
newoutcome1_00028,mean_jump_deg,25,25,106.1586,104.1225,2.036,0.6822,46.79,0.49847708005201075,0.193,negligible,False
newoutcome1_00028,mean_jump_cos,25,25,68.5854,64.9433,3.642,0.8534,47.79,0.39766957905769795,0.2414,small,False
newoutcome1_00028,opposite_switch_rate,25,25,0.1969,0.1745,0.0223,0.8532,47.19,0.39788448645299934,0.2413,small,False
newoutcome1_00029,mean_jump_deg,25,25,107.5532,107.1369,0.4162,0.2529,45.09,0.8014797862435499,0.0715,negligible,False
newoutcome1_00029,mean_jump_cos,25,25,70.8905,70.0433,0.8472,0.3553,46.6,0.7239983734137406,0.1005,negligible,False
newoutcome1_00029,opposite_switch_rate,25,25,0.1882,0.1786,0.0097,0.6267,46.02,0.5339623004183933,0.1773,negligible,False
newoutcome1_00030,mean_jump_deg,25,25,109.1874,102.3622,6.8252,2.2894,47.01,0.02659349396605175,0.6475,medium,True
newoutcome1_00030,mean_jump_cos,25,25,73.0981,64.4263,8.6717,2.1414,47.38,0.0374135076029174,0.6057,medium,True
newoutcome1_00030,opposite_switch_rate,25,25,0.2171,0.1519,0.0652,3.0253,48.0,0.003983268936777309,0.8557,large,True
newoutcome1_00031,mean_jump_deg,25,25,109.8685,105.2342,4.6342,2.2115,44.03,0.03223894312726934,0.6255,medium,True
newoutcome1_00031,mean_jump_cos,25,25,74.7823,67.9175,6.8648,2.2583,46.25,0.028688212792929768,0.6387,medium,True
newoutcome1_00031,opposite_switch_rate,25,25,0.229,0.1807,0.0483,2.4148,47.02,0.019685074793215292,0.683,medium,True
newoutcome1_00032,mean_jump_deg,25,25,108.7171,108.4811,0.236,0.1303,45.3,0.8969409394833301,0.0368,negligible,False
newoutcome1_00032,mean_jump_cos,25,25,73.016,72.1255,0.8906,0.3758,46.12,0.7087760623813788,0.1063,negligible,False
newoutcome1_00032,opposite_switch_rate,25,25,0.2094,0.1984,0.011,0.728,44.96,0.4703761112371083,0.2059,small,False
newoutcome1_00033,mean_jump_deg,25,25,106.1279,106.4595,-0.3315,-0.1079,47.85,0.9145182259592406,-0.0305,negligible,False
newoutcome1_00033,mean_jump_cos,25,25,69.1591,69.586,-0.4269,-0.0981,47.85,0.9222371085461455,-0.0278,negligible,False
newoutcome1_00033,opposite_switch_rate,25,25,0.1749,0.1808,-0.0059,-0.1887,44.11,0.8512260188329532,-0.0534,negligible,False
newoutcome1_00034,mean_jump_deg,25,25,106.8955,107.7694,-0.8739,-0.2725,47.29,0.7864444350807117,-0.0771,negligible,False
newoutcome1_00034,mean_jump_cos,25,25,70.1055,71.2496,-1.1441,-0.2565,47.96,0.7986809192853987,-0.0725,negligible,False
newoutcome1_00034,opposite_switch_rate,25,25,0.1822,0.1943,-0.0121,-0.4926,43.35,0.6247727733012653,-0.1393,negligible,False
newoutcome1_00035,mean_jump_deg,25,25,105.755,105.573,0.182,0.1193,47.98,0.9055316394629573,0.0337,negligible,False
newoutcome1_00035,mean_jump_cos,25,25,68.9698,68.9096,0.0602,0.0271,48.0,0.978461922214013,0.0077,negligible,False
newoutcome1_00035,opposite_switch_rate,25,25,0.1739,0.1728,0.0011,0.0749,46.73,0.9406050424747435,0.0212,negligible,False
newoutcome1_00036,mean_jump_deg,25,25,108.155,108.6955,-0.5406,-0.3513,44.29,0.7269974580561491,-0.0994,negligible,False
newoutcome1_00036,mean_jump_cos,25,25,73.1654,72.9218,0.2436,0.1107,44.89,0.9123440851470349,0.0313,negligible,False
newoutcome1_00036,opposite_switch_rate,25,25,0.203,0.2071,-0.0041,-0.2587,43.32,0.7971202291916748,-0.0732,negligible,False
newoutcome1_00037,mean_jump_deg,25,25,110.7099,106.3279,4.382,1.6207,41.77,0.11261528260389828,0.4584,small,False
newoutcome1_00037,mean_jump_cos,25,25,76.4308,69.6142,6.8166,1.8976,40.23,0.06494199339612662,0.5367,medium,False
newoutcome1_00037,opposite_switch_rate,25,25,0.2231,0.1821,0.041,2.0403,43.2,0.0474580170745097,0.5771,medium,True
newoutcome1_00038,mean_jump_deg,25,25,110.8108,105.8613,4.9496,2.6907,47.75,0.009795927517056907,0.7611,medium,True
newoutcome1_00038,mean_jump_cos,25,25,75.887,68.7336,7.1534,2.9672,48.0,0.004675326506644345,0.8392,large,True
newoutcome1_00038,opposite_switch_rate,25,25,0.2197,0.19,0.0297,1.9518,46.76,0.056960595191846694,0.5521,medium,False
newoutcome1_00039,mean_jump_deg,25,25,107.5622,106.0685,1.4937,0.882,47.96,0.3821944034068089,0.2495,small,False
newoutcome1_00039,mean_jump_cos,25,25,72.0721,69.3452,2.7268,1.2359,47.42,0.22256967741838443,0.3496,small,False
