run_tag,agent,csv,n_jumps,mean_jump_deg,variance_jump_deg2,std_jump_deg,mean_jump_cos,variance_jump_cos,std_jump_cos,opposite_switch_rate
newoutcome1_00001,a,simulation_a_sim0_round21.csv,999,114.3694,2191.4356,46.8128,77.8686,4880.3202,69.8593,0.2382
newoutcome1_00001,a,simulation_a_sim0_round22.csv,999,104.8649,2554.5659,50.5427,67.1839,5129.884,71.6232,0.2242
newoutcome1_00001,a,simulation_a_sim0_round23.csv,999,119.4595,2625.3087,51.2378,88.0405,5586.8459,74.7452,0.3273
newoutcome1_00001,a,simulation_a_sim0_round24.csv,999,107.4775,2607.9592,51.0682,71.3798,5249.1911,72.4513,0.2392
newoutcome1_00001,a,simulation_a_sim0_round3.csv,999,110.9459,2663.2576,51.6068,78.6357,5172.1934,71.918,0.2412
newoutcome1_00001,a,simulation_a_sim0_round4.csv,999,103.1532,2111.5406,45.9515,65.4301,4080.7908,63.8811,0.1281
newoutcome1_00001,a,simulation_a_sim0_round5.csv,999,100.991,2050.1693,45.2788,61.3964,3990.5159,63.1705,0.1221
newoutcome1_00001,a,simulation_a_sim0_round6.csv,999,101.0811,2080.6437,45.6141,62.4932,3977.7575,63.0695,0.1171
newoutcome1_00001,a,simulation_a_sim0_round7.csv,999,121.6216,1742.3577,41.7416,86.4002,4377.9044,66.1657,0.2352
newoutcome1_00001,a,simulation_a_sim0_round8.csv,999,107.2523,2000.9844,44.7324,68.515,4186.8482,64.7059,0.1532
newoutcome1_00001,a,simulation_a_sim0_round9.csv,999,110.5856,2795.9243,52.8765,76.0572,5686.7836,75.4108,0.2873
newoutcome1_00001,b,simulation_b_sim0_round0.csv,999,101.036,1998.4496,44.704,59.4511,4040.0598,63.5615,0.1351
newoutcome1_00001,b,simulation_b_sim0_round1.csv,999,100.4955,2123.7272,46.0839,61.2078,4097.7438,64.0136,0.1291
newoutcome1_00001,b,simulation_b_sim0_round10.csv,999,109.8649,2488.2833,49.8827,76.6739,4828.3855,69.4866,0.2072
newoutcome1_00001,b,simulation_b_sim0_round11.csv,999,104.4595,2162.6835,46.5047,64.763,4443.442,66.6591,0.1702
newoutcome1_00001,b,simulation_b_sim0_round12.csv,999,104.3694,2238.3294,47.311,67.9138,4304.7306,65.6104,0.1471
newoutcome1_00001,b,simulation_b_sim0_round13.csv,999,114.6396,1812.9462,42.5787,79.3276,3947.6216,62.8301,0.1572
newoutcome1_00001,b,simulation_b_sim0_round14.csv,999,111.6667,2145.5411,46.32,75.6005,4529.2253,67.2995,0.1942
newoutcome1_00001,b,simulation_b_sim0_round15.csv,999,121.8919,2240.5554,47.3345,90.7789,4917.0695,70.1218,0.2863
newoutcome1_00001,b,simulation_b_sim0_round16.csv,999,109.6396,2028.4772,45.0386,71.7047,4330.8593,65.8093,0.1722
newoutcome1_00001,b,simulation_b_sim0_round17.csv,999,106.5315,2772.0509,52.6503,73.1168,5270.5961,72.5989,0.2312
newoutcome1_00001,b,simulation_b_sim0_round18.csv,999,110.2703,2461.8507,49.617,77.4514,4754.4555,68.9526,0.2022
newoutcome1_00001,b,simulation_b_sim0_round19.csv,999,104.2793,2431.6444,49.3117,66.3521,4853.2482,69.6653,0.1992
newoutcome1_00001,b,simulation_b_sim0_round2.csv,999,102.4775,2037.5684,45.1394,63.0737,4030.0852,63.483,0.1281
newoutcome1_00001,b,simulation_b_sim0_round20.csv,999,108.6486,2784.7452,52.7707,74.6095,5486.3669,74.07,0.2603
newoutcome1_00001,b,simulation_b_sim0_round21.csv,999,110.1351,2177.1611,46.6601,73.8765,4510.8624,67.163,0.1862
newoutcome1_00001,b,simulation_b_sim0_round22.csv,999,116.982,2568.4626,50.68,85.9678,5219.4383,72.2457,0.2793
newoutcome1_00001,b,simulation_b_sim0_round23.csv,999,116.982,2625.2762,51.2374,84.9567,5473.1085,73.9805,0.3013
newoutcome1_00001,b,simulation_b_sim0_round24.csv,999,100.8108,2561.366,50.6099,61.7021,5043.017,71.0142,0.2112
newoutcome1_00001,b,simulation_b_sim0_round3.csv,999,98.2883,1741.1553,41.7272,54.8851,3462.3715,58.8419,0.0901
newoutcome1_00001,b,simulation_b_sim0_round4.csv,999,102.1622,1775.4807,42.1365,59.0799,3743.8392,61.1869,0.1181
newoutcome1_00001,b,simulation_b_sim0_round5.csv,999,110.1351,2359.7763,48.5775,74.6041,4826.4253,69.4725,0.2122
newoutcome1_00001,b,simulation_b_sim0_round6.csv,999,100.9459,2020.7225,44.9524,60.3001,4009.1677,63.318,0.1281
newoutcome1_00001,b,simulation_b_sim0_round7.csv,999,117.2072,2257.9741,47.5181,83.5042,4912.4621,70.089,0.2543
newoutcome1_00001,b,simulation_b_sim0_round8.csv,999,108.2432,2038.8195,45.1533,69.0894,4376.3346,66.1539,0.1742
newoutcome1_00001,b,simulation_b_sim0_round9.csv,999,113.7387,2035.1311,45.1124,77.5385,4460.0278,66.7834,0.1982
newoutcome1_00002,a,simulation_a_sim0_round0.csv,999,105.6306,2370.8945,48.6918,69.1099,4668.7529,68.3283,0.1832
newoutcome1_00002,a,simulation_a_sim0_round1.csv,999,95.4955,2173.3264,46.6189,53.6243,4149.3708,64.4156,0.1391
newoutcome1_00002,a,simulation_a_sim0_round10.csv,999,103.7838,2066.1296,45.4547,63.6914,4228.0381,65.0234,0.1512
newoutcome1_00002,a,simulation_a_sim0_round11.csv,999,108.7838,2063.4241,45.4249,68.9892,4529.9372,67.3048,0.1912
newoutcome1_00002,a,simulation_a_sim0_round12.csv,999,106.2613,1896.2533,43.546,63.4791,4259.2459,65.2629,0.1702
newoutcome1_00002,a,simulation_a_sim0_round13.csv,999,109.8198,2037.5928,45.1397,71.0415,4449.0951,66.7015,0.1852
newoutcome1_00002,a,simulation_a_sim0_round14.csv,999,112.973,2243.4071,47.3646,77.5944,4757.879,68.9774,0.2192
newoutcome1_00002,a,simulation_a_sim0_round15.csv,999,116.8919,2670.7158,51.679,85.0761,5537.2491,74.4127,0.3063
newoutcome1_00002,a,simulation_a_sim0_round16.csv,999,103.2883,2316.9569,48.1348,64.1843,4653.3388,68.2154,0.1832
newoutcome1_00002,a,simulation_a_sim0_round17.csv,999,97.3874,2201.6844,46.9221,57.2886,4174.595,64.6111,0.1341
newoutcome1_00002,a,simulation_a_sim0_round18.csv,999,110.4505,2474.7969,49.7473,75.9662,4980.7841,70.5747,0.2252
newoutcome1_00002,a,simulation_a_sim0_round19.csv,999,102.6126,2815.3618,53.06,68.0635,5277.1252,72.6438,0.2202
newoutcome1_00002,a,simulation_a_sim0_round2.csv,999,108.8739,2587.5833,50.8683,74.682,5091.6473,71.3558,0.2272
newoutcome1_00002,a,simulation_a_sim0_round20.csv,999,123.4234,2753.1983,52.4709,95.938,5622.0003,74.98,0.3644
newoutcome1_00002,a,simulation_a_sim0_round21.csv,999,105.4054,2578.7683,50.7816,70.0407,4990.6979,70.6449,0.2072
newoutcome1_00002,a,simulation_a_sim0_round22.csv,999,117.3874,2102.0352,45.848,84.1414,4532.8558,67.3265,0.2222
newoutcome1_00002,a,simulation_a_sim0_round23.csv,999,105.3153,2041.8093,45.1864,65.4797,4249.5572,65.1886,0.1562
newoutcome1_00002,a,simulation_a_sim0_round24.csv,999,109.0541,2751.1834,52.4517,75.3409,5403.2141,73.5066,0.2543
newoutcome1_00002,a,simulation_a_sim0_round3.csv,999,115.8108,2776.4461,52.692,85.1718,5534.5042,74.3942,0.2993
newoutcome1_00002,a,simulation_a_sim0_round4.csv,999,96.2162,1884.867,43.4151,56.9707,3377.2278,58.1139,0.0591
newoutcome1_00002,a,simulation_a_sim0_round5.csv,999,104.2793,1900.0311,43.5893,67.642,3587.643,59.8969,0.0851
newoutcome1_00002,a,simulation_a_sim0_round6.csv,999,102.1622,2079.8394,45.6053,63.8806,4007.4415,63.3044,0.1211
newoutcome1_00002,a,simulation_a_sim0_round7.csv,999,98.1982,1888.7342,43.4596,56.5834,3650.0375,60.4155,0.0971
newoutcome1_00002,a,simulation_a_sim0_round8.csv,999,110.2703,2348.2235,48.4585,73.2466,4970.0166,70.4983,0.2282
newoutcome1_00002,a,simulation_a_sim0_round9.csv,999,100.7658,2499.4381,49.9944,62.6451,4825.0602,69.4627,0.1882
newoutcome1_00002,b,simulation_b_sim0_round0.csv,999,99.009,1866.6522,43.2048,57.2736,3653.9189,60.4477,0.0991
newoutcome1_00002,b,simulation_b_sim0_round1.csv,999,103.018,2141.4586,46.2759,64.3677,4219.852,64.9604,0.1431
newoutcome1_00002,b,simulation_b_sim0_round10.csv,999,109.6847,2300.6269,47.9649,72.8519,4806.702,69.3304,0.2112
newoutcome1_00002,b,simulation_b_sim0_round11.csv,999,110.2703,2717.5121,52.1298,79.0395,5122.4237,71.5711,0.2322
newoutcome1_00002,b,simulation_b_sim0_round12.csv,999,113.1982,2592.141,50.9131,79.6718,5310.7269,72.8747,0.2663
newoutcome1_00002,b,simulation_b_sim0_round13.csv,999,90.1802,1907.2821,43.6724,46.0287,3485.7115,59.0399,0.0951
newoutcome1_00002,b,simulation_b_sim0_round14.csv,999,116.036,2823.5999,53.1376,87.0529,5434.6592,73.7201,0.2923
newoutcome1_00002,b,simulation_b_sim0_round15.csv,999,114.955,2103.6803,45.8659,78.8589,4690.7022,68.4887,0.2242
newoutcome1_00002,b,simulation_b_sim0_round16.csv,999,103.6486,2757.6911,52.5137,68.394,5271.4191,72.6045,0.2252
newoutcome1_00002,b,simulation_b_sim0_round17.csv,999,93.2883,2397.6683,48.966,54.0383,4368.9286,66.0979,0.1421
newoutcome1_00002,b,simulation_b_sim0_round18.csv,999,113.7387,2428.7683,49.2825,82.0465,4774.7301,69.0994,0.2212
newoutcome1_00002,b,simulation_b_sim0_round19.csv,999,98.0631,2177.0311,46.6587,58.1551,4139.2599,64.3371,0.1311
newoutcome1_00002,b,simulation_b_sim0_round2.csv,999,101.5766,1969.9819,44.3845,61.4509,3893.3804,62.397,0.1171
newoutcome1_00002,b,simulation_b_sim0_round20.csv,999,100.9009,2482.3038,49.8227,64.7108,4628.4021,68.0324,0.1642
newoutcome1_00002,b,simulation_b_sim0_round21.csv,999,107.5225,2028.0994,45.0344,67.4115,4393.9452,66.2868,0.1762
newoutcome1_00002,b,simulation_b_sim0_round22.csv,999,122.7477,2179.0906,46.6807,93.3379,4613.5896,67.9234,0.2683
newoutcome1_00002,b,simulation_b_sim0_round23.csv,999,107.2072,2110.0783,45.9356,71.2283,4147.2843,64.3994,0.1421
newoutcome1_00002,b,simulation_b_sim0_round24.csv,999,118.018,2817.8113,53.0831,89.9493,5434.7047,73.7204,0.3063
newoutcome1_00002,b,simulation_b_sim0_round3.csv,999,94.955,1850.2735,43.0148,54.1543,3357.8799,57.9472,0.0641
newoutcome1_00002,b,simulation_b_sim0_round4.csv,999,102.8378,2211.0518,47.0218,66.2933,4171.657,64.5884,0.1311
newoutcome1_00002,b,simulation_b_sim0_round5.csv,999,94.0991,2172.5343,46.6105,54.1507,3960.5584,62.933,0.1111
newoutcome1_00002,b,simulation_b_sim0_round6.csv,999,116.982,2288.4526,47.8378,82.551,5051.0013,71.0704,0.2653
newoutcome1_00002,b,simulation_b_sim0_round7.csv,999,104.2793,2021.7746,44.9641,63.442,4227.5705,65.0198,0.1552
newoutcome1_00002,b,simulation_b_sim0_round8.csv,999,105.3153,2362.4005,48.6045,68.4156,4668.453,68.3261,0.1832
newoutcome1_00002,b,simulation_b_sim0_round9.csv,999,105.991,2136.2915,46.22,67.4408,4378.5787,66.1708,0.1652
newoutcome1_00003,a,simulation_a_sim0_round0.csv,999,112.3874,1529.3899,39.1074,72.9008,3622.8947,60.1905,0.1251
newoutcome1_00003,a,simulation_a_sim0_round1.csv,999,96.5315,2085.7783,45.6703,59.6166,3647.3638,60.3934,0.0721
newoutcome1_00003,a,simulation_a_sim0_round10.csv,999,98.4234,2167.0259,46.5513,61.7359,3880.5669,62.2942,0.0951
newoutcome1_00003,a,simulation_a_sim0_round11.csv,999,102.5676,2798.2357,52.8984,66.9031,5342.5984,73.0931,0.2292
newoutcome1_00003,a,simulation_a_sim0_round12.csv,999,99.5495,1710.5183,41.3584,58.0899,3326.169,57.6729,0.0701
newoutcome1_00003,a,simulation_a_sim0_round13.csv,999,114.4144,3299.1307,57.4381,85.2843,6372.1291,79.8256,0.3634
newoutcome1_00003,a,simulation_a_sim0_round14.csv,999,108.5135,2288.5948,47.8393,70.8125,4789.9198,69.2092,0.2072
newoutcome1_00003,a,simulation_a_sim0_round15.csv,999,111.0811,2769.1708,52.6229,78.615,5427.0705,73.6687,0.2643
newoutcome1_00003,a,simulation_a_sim0_round16.csv,999,103.3333,1847.0441,42.9773,64.887,3585.2403,59.8769,0.0881
newoutcome1_00003,a,simulation_a_sim0_round17.csv,999,121.8919,2098.5214,45.8096,87.5244,5057.2501,71.1143,0.2963
newoutcome1_00003,a,simulation_a_sim0_round18.csv,999,121.6216,2574.2715,50.7373,89.8435,5705.9909,75.538,0.3524
newoutcome1_00003,a,simulation_a_sim0_round19.csv,999,111.036,2420.0428,49.1939,75.2945,5040.7696,70.9984,0.2352
newoutcome1_00003,a,simulation_a_sim0_round2.csv,999,94.3243,1563.9468,39.5468,51.9785,2813.6668,53.044,0.025
newoutcome1_00003,a,simulation_a_sim0_round20.csv,999,105.9459,2606.444,51.0533,68.962,5240.102,72.3885,0.2352
newoutcome1_00003,a,simulation_a_sim0_round21.csv,999,95.4955,1775.631,42.1382,53.9414,3271.0868,57.1934,0.0611
newoutcome1_00003,a,simulation_a_sim0_round22.csv,999,105.7658,1532.7046,39.1498,58.6834,3785.875,61.5295,0.1461
newoutcome1_00003,a,simulation_a_sim0_round23.csv,999,119.0991,2135.1094,46.2072,87.2653,4556.8884,67.5047,0.2352
newoutcome1_00003,a,simulation_a_sim0_round24.csv,999,96.5315,2065.4877,45.4476,56.7879,3816.3053,61.7763,0.1001
newoutcome1_00003,a,simulation_a_sim0_round3.csv,999,96.036,1558.3694,39.4762,52.5201,2956.6153,54.3748,0.045
newoutcome1_00003,a,simulation_a_sim0_round4.csv,999,105.2252,1557.5895,39.4663,65.4442,3195.1004,56.5252,0.0641
newoutcome1_00003,a,simulation_a_sim0_round5.csv,999,91.4865,1541.9014,39.2671,46.9354,2771.1422,52.6416,0.035
newoutcome1_00003,a,simulation_a_sim0_round6.csv,999,107.9279,1699.2092,41.2215,69.5265,3549.2902,59.5759,0.0991
newoutcome1_00003,a,simulation_a_sim0_round7.csv,999,98.6937,1959.4892,44.2661,58.5141,3721.6779,61.0056,0.0971
newoutcome1_00003,a,simulation_a_sim0_round8.csv,999,124.2793,2396.9249,48.9584,96.9236,4905.0251,70.0359,0.3093
newoutcome1_00003,a,simulation_a_sim0_round9.csv,999,132.7477,2941.1147,54.232,108.4761,6334.7137,79.5909,0.5215
newoutcome1_00003,b,simulation_b_sim0_round0.csv,999,90.045,2534.2916,50.3417,53.6319,4381.0403,66.1894,0.1251
newoutcome1_00003,b,simulation_b_sim0_round1.csv,999,103.0631,1829.8367,42.7766,65.8374,3423.84,58.5136,0.0691
newoutcome1_00003,b,simulation_b_sim0_round10.csv,999,131.4865,1903.0737,43.6242,101.4719,4939.1694,70.2792,0.3684
newoutcome1_00003,b,simulation_b_sim0_round11.csv,999,107.1171,2437.8229,49.3743,68.516,5106.4303,71.4593,0.2322
newoutcome1_00003,b,simulation_b_sim0_round12.csv,999,126.4414,2138.351,46.2423,97.4865,4782.0171,69.1521,0.3133
newoutcome1_00003,b,simulation_b_sim0_round13.csv,999,96.3063,2796.8139,52.8849,59.208,5185.6304,72.0113,0.2062
newoutcome1_00003,b,simulation_b_sim0_round14.csv,999,103.018,2259.144,47.5305,65.2596,4394.6572,66.2922,0.1552
newoutcome1_00003,b,simulation_b_sim0_round15.csv,999,114.0991,2399.3379,48.983,80.9553,4913.2088,70.0943,0.2362
newoutcome1_00003,b,simulation_b_sim0_round16.csv,999,107.5676,3351.4922,57.8921,76.9849,6265.9042,79.1575,0.3173
newoutcome1_00003,b,simulation_b_sim0_round17.csv,999,100.5405,2270.8999,47.654,62.1285,4345.3836,65.9195,0.1471
newoutcome1_00003,b,simulation_b_sim0_round18.csv,999,110.2252,2632.0885,51.3039,77.9758,5053.5929,71.0886,0.2272
newoutcome1_00003,b,simulation_b_sim0_round19.csv,999,100.5405,2031.4711,45.0718,60.8108,3936.9828,62.7454,0.1171
newoutcome1_00003,b,simulation_b_sim0_round2.csv,999,101.4414,1500.325,38.734,52.9673,3483.3781,59.0201,0.1221
newoutcome1_00003,b,simulation_b_sim0_round20.csv,999,108.5135,2032.9334,45.0881,69.4024,4378.4618,66.1699,0.1752
newoutcome1_00003,b,simulation_b_sim0_round21.csv,999,105.8559,1797.6886,42.3992,65.5672,3799.5091,61.6402,0.1201
newoutcome1_00003,b,simulation_b_sim0_round22.csv,999,97.973,2133.8379,46.1935,60.147,3881.5407,62.302,0.0991
newoutcome1_00003,b,simulation_b_sim0_round23.csv,999,98.0631,2209.496,47.0053,59.7631,4085.8992,63.921,0.1191
newoutcome1_00003,b,simulation_b_sim0_round24.csv,999,115.9459,2280.442,47.754,83.2463,4737.3863,68.8287,0.2312
newoutcome1_00003,b,simulation_b_sim0_round3.csv,999,124.1892,2683.1095,51.7987,93.7349,5977.4077,77.3137,0.3964
newoutcome1_00003,b,simulation_b_sim0_round4.csv,999,89.1441,1336.4161,36.557,39.9682,2436.5184,49.3611,0.042
newoutcome1_00003,b,simulation_b_sim0_round5.csv,999,101.5315,1502.3114,38.7597,54.3918,3405.8685,58.3598,0.1081
newoutcome1_00003,b,simulation_b_sim0_round6.csv,999,116.982,2109.8955,45.9336,85.3604,4310.0476,65.651,0.2002
newoutcome1_00003,b,simulation_b_sim0_round7.csv,999,98.6486,2019.1139,44.9346,59.4381,3773.639,61.43,0.0971
newoutcome1_00003,b,simulation_b_sim0_round8.csv,999,110.4505,2446.3901,49.461,77.7172,4722.5611,68.7209,0.2002
newoutcome1_00003,b,simulation_b_sim0_round9.csv,999,102.2973,2155.664,46.4291,67.6783,3846.7887,62.0225,0.0951
newoutcome1_00004,a,simulation_a_sim0_round0.csv,999,87.4775,1811.6666,42.5637,43.9555,3155.9312,56.1777,0.0641
newoutcome1_00004,a,simulation_a_sim0_round1.csv,999,94.3243,2249.7685,47.4317,54.9464,4096.9962,64.0078,0.1201
newoutcome1_00004,a,simulation_a_sim0_round10.csv,999,101.982,2295.2161,47.9084,64.5913,4384.389,66.2147,0.1502
newoutcome1_00004,a,simulation_a_sim0_round11.csv,999,99.6847,2440.4065,49.4005,61.2014,4674.0603,68.3671,0.1742
newoutcome1_00004,a,simulation_a_sim0_round12.csv,999,115.9009,2576.9932,50.7641,80.4388,5711.5613,75.5749,0.3173
newoutcome1_00004,a,simulation_a_sim0_round13.csv,999,116.3063,2553.7778,50.5349,85.1767,5153.3302,71.7867,0.2693
newoutcome1_00004,a,simulation_a_sim0_round14.csv,999,99.5495,2169.0855,46.5734,58.9642,4248.3215,65.1791,0.1461
