tag,git_commit,steps,n_simulations,seed,activation_check,activation_check_params,decay,decay_params,growth,growth_params,influence,influence_params,starting_values,starting_values_params
First_Hypothesis_00052,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.15},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 0.1}"
First_Hypothesis_00053,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.2},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 0.1}"
First_Hypothesis_00054,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.5},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 0.1}"
First_Hypothesis_00055,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 1},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 0.1}"
First_Hypothesis_00056,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.01},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 0.5}"
First_Hypothesis_00057,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.02},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 0.5}"
First_Hypothesis_00058,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.05},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 0.5}"
First_Hypothesis_00059,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.1},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 0.5}"
First_Hypothesis_00060,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.15},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 0.5}"
First_Hypothesis_00061,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.2},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 0.5}"
First_Hypothesis_00062,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.5},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 0.5}"
First_Hypothesis_00063,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 1},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 0.5}"
First_Hypothesis_00064,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.01},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 1}"
First_Hypothesis_00065,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.02},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 1}"
