agent,i,j,mean_fwd,mean_rev,mean_net,sd_net,n_rounds,t,p_value,cohens_d,ci95_lo,ci95_hi,p_holm,p_fdr,sig_fdr
b,3,4,0.054,0.079,-0.025,0.5065882268979724,1000,-1.5605759728824424,0.118940544678812,-0.04934974536041682,-0.05643617316991192,0.006436173169911914,1.0,0.475762178715248,False
b,3,5,30.796,32.141,-1.345,29.460752042521097,1000,-1.4437049830865412,0.149135490236155,-0.045653960158883365,-3.1731777067650917,0.483177706765092,1.0,0.5219742158265425,False
b,3,6,0.079,0.074,0.005,0.7081500381109052,1000,0.2232773769669082,0.8233652797478033,0.007060650612034476,-0.03894402800209101,0.04894402800209101,1.0,0.9725391700320603,False
b,3,7,13.072,11.89,1.182,30.917159422345815,1000,1.2089765891032884,0.2269578946285405,0.038231196593878955,-0.7365546088862864,3.100554608886286,1.0,0.5777110045090121,False
b,3,8,11.563,12.072,-0.509,8.776613694811225,1000,-1.8339639694718566,0.06695667154887167,-0.057995032902145756,-1.0536300038296653,0.0356300038296653,1.0,0.3850937562819963,False
b,4,5,0.123,0.122,0.001,1.147307855510157,1000,0.02756259050246156,0.9780165236198848,0.0008716056420230334,-0.07019582830787244,0.07219582830787244,1.0,1.0,False
b,4,6,0.129,0.035,0.094,2.4521780476093444,1000,1.2122043925220845,0.22572075770477062,0.03833326870030569,-0.05816913788174019,0.2461691378817402,1.0,0.5777110045090121,False
b,4,7,0.071,0.078,-0.007,0.4088008293999881,1000,-0.5414848021142323,0.5882942042357584,-0.01712325293046532,-0.032368006958459934,0.018368006958459932,1.0,0.8971013870776681,False
b,4,8,0.047,0.168,-0.121,2.100183270519449,1000,-1.821915269259976,0.06876674219321363,-0.0576140195470048,-0.2513262126419259,0.009326212641925902,1.0,0.3850937562819963,False
b,5,6,0.119,0.13,-0.011,0.7452747375528265,1000,-0.4667413573693894,0.6407867050554772,-0.014759657674858862,-0.05724778955549999,0.03524778955549998,1.0,0.8971013870776681,False
b,5,7,31.717,31.178,0.539,29.280946925481302,1000,0.5821081070801946,0.5606252047278424,0.018407874628226024,-1.2780199567504282,2.3560199567504285,1.0,0.8971013870776681,False
b,5,8,44.524,44.127,0.397,49.936830877400276,1000,0.2514024636783687,0.801554666506231,0.00795004394601398,-2.701814342037056,3.4958143420370558,1.0,0.9725391700320603,False
b,6,7,0.071,0.071,0.0,0.6019654162511019,1000,0.0,1.0,0.0,-0.037354774672603994,0.037354774672603994,1.0,1.0,False
b,6,8,0.064,0.064,0.0,0.603626013657765,1000,0.0,1.0,0.0,-0.037457822522651806,0.037457822522651806,1.0,1.0,False
b,7,8,10.823,11.813,-0.99,8.69191862878671,1000,-3.6017995764459867,0.00033157911095296565,-0.11389890336999076,-1.5293742781321156,-0.4506257218678844,0.009284215106683038,0.009284215106683038,True
